Wall time,Step,Value
1668694255.9101424,0,-0.06413090229034424
1668695055.04217,1,-0.1233774870634079
1668695854.8980184,2,-0.22911065816879272
1668696640.239633,3,-0.3929014205932617
1668697455.1852667,4,-0.5503208637237549
1668698256.3519466,5,-0.6537683606147766
1668699077.0080948,6,-0.7128835916519165
1668699872.9389493,7,-0.7472171187400818
1668700697.1883018,8,-0.7693353295326233
1668701500.3861527,9,-0.7809246182441711
1668702324.0402317,10,-0.7907787561416626
1668703128.7855973,11,-0.797245442867279
1668703945.9959323,12,-0.8030255436897278
1668704759.387416,13,-0.8063019514083862
1668705565.3896413,14,-0.8095195889472961
1668706382.794642,15,-0.8131789565086365
1668707199.1760075,16,-0.8150802254676819
1668708005.9887426,17,-0.8180620670318604
1668708813.1567252,18,-0.8200048208236694
1668709651.718753,19,-0.8215042948722839
1668710480.8927972,20,-0.821891188621521
1668711304.8662913,21,-0.8239231705665588
1668712135.309498,22,-0.825057327747345
1668712951.5852966,23,-0.826732873916626
1668713770.978531,24,-0.8268306255340576
1668714600.3926218,25,-0.8293331265449524
1668715427.4001927,26,-0.8291001915931702
1668716270.9347634,27,-0.8303557634353638
1668717099.071032,28,-0.8308372497558594
1668717918.3419418,29,-0.8323260545730591
1668718754.5473044,30,-0.8338789343833923
1668719578.8078053,31,-0.8332348465919495
1668720392.5058656,32,-0.8340615630149841
1668721221.435683,33,-0.8355245590209961
1668722034.0573697,34,-0.8344752788543701
1668722865.1418269,35,-0.8364416360855103
1668723687.053585,36,-0.8375540375709534
1668724504.4689665,37,-0.837603747844696
1668725334.250484,38,-0.8379114866256714
1668726170.3813462,39,-0.8391968011856079
1668726963.2288654,40,-0.8385606408119202
1668727706.9501457,41,-0.8392635583877563
1668728452.6574035,42,-0.8408543467521667
1668729192.3438234,43,-0.8414498567581177
1668729931.8186169,44,-0.8414208292961121
1668730689.4359457,45,-0.8414764404296875
1668731506.4963996,46,-0.8424742221832275
1668732341.6401045,47,-0.8430724740028381
1668733172.5647128,48,-0.842902421951294
1668733988.024645,49,-0.843359112739563
1668734814.3109481,50,-0.8434102535247803
1668735661.0486279,51,-0.8440706729888916
1668736490.2461398,52,-0.8450695276260376
1668737342.0935202,53,-0.8447111248970032
1668738183.6642299,54,-0.8460335731506348
1668739017.3781507,55,-0.8459866046905518
1668739849.0763464,56,-0.8460450172424316
1668740684.2544057,57,-0.8469675779342651
1668741525.706722,58,-0.8469477891921997
1668742325.249485,59,-0.8477585911750793
1668743063.0336118,60,-0.8476017117500305
1668743809.2010477,61,-0.8477924466133118
1668744552.8860621,62,-0.847818911075592
1668745307.9333425,63,-0.8485695719718933
1668746080.5280578,64,-0.8489720225334167
1668746922.0542123,65,-0.8489358425140381
1668747762.3097732,66,-0.8491851687431335
1668748615.6721802,67,-0.8495842218399048
1668749464.4143336,68,-0.849993109703064
1668750316.5133493,69,-0.8503348231315613
1668751169.5632157,70,-0.8506519198417664
1668752013.8122654,71,-0.8506842255592346
1668752857.3139634,72,-0.8505798578262329
1668753683.5140429,73,-0.8506621718406677
1668754533.7502265,74,-0.8513808250427246
1668755384.9029477,75,-0.8514285087585449
1668756220.8719883,76,-0.8508554100990295
1668757059.5837402,77,-0.8518694639205933
1668757900.0704284,78,-0.8521296977996826
1668758744.9729047,79,-0.8522909283638
1668759584.8399765,80,-0.8523188829421997
1668760318.5853956,81,-0.8528519868850708
1668761061.466759,82,-0.852823793888092
1668761803.8854325,83,-0.8527880907058716
1668762553.0775442,84,-0.8528683185577393
1668763303.7218,85,-0.853257417678833
1668764054.889482,86,-0.8532227277755737
1668764882.555738,87,-0.853338360786438
1668765728.6094959,88,-0.8535428047180176
1668766564.5091584,89,-0.853774905204773
1668767318.2765582,90,-0.8538264036178589
1668768063.3219788,91,-0.8537119030952454
1668768808.7700405,92,-0.8538528084754944
1668769553.0648067,93,-0.8546927571296692
1668770298.665464,94,-0.8542488813400269
1668771074.9866378,95,-0.8541990518569946
1668771917.2842803,96,-0.8543768525123596
1668772750.8513663,97,-0.8545387387275696
1668773586.7302248,98,-0.8549140095710754
1668774446.0526016,99,-0.8552321791648865
